Case,Surname,Deputy No,Dep Forename,Dep Surname,Dep Postcode,Made Date,Dig,Digdate,Foreign,Corref,Due Date,Typeofrep,Team,Fee Payer,Corres,Sett Comp
TEST0001,S1,test0001,NAME,SURNAME,SW1,14-Jun-11,,           ,,L2,19-May-17,OPG102,Team 1,Y,Y,
TEST0002,S2,test0002,NAME,SURNAME,SW1,15-Jun-11,,           ,,L2,03-Jul-17,OPG102,Team 1,Y,Y,
TEST0003,S3,test0003,NAME,SURNAME,SW1,16-Jun-11,,           ,,L2,17-Aug-17,OPG102,Team 1,Y,Y,
TEST0004,S4,test0004,NAME,SURNAME,SW1,17-Jun-11,,           ,,L2,01-Oct-17,OPG102,Team 1,Y,Y,
TEST0005,S5,test0005,NAME,SURNAME,SW1,18-Jun-11,,           ,,L2,15-Nov-17,OPG102,Team 1,Y,Y,
TEST0006,S6,test0006,NAME,SURNAME,SW1,19-Jun-11,,           ,,L2,30-Dec-17,OPG102,Team 1,Y,Y,
TEST0007,S7,test0007,NAME,SURNAME,SW1,20-Jun-11,,           ,,L2,13-Feb-18,OPG102,Team 1,Y,Y,
TEST0008,S8,test0008,NAME,SURNAME,SW1,21-Jun-11,,           ,,L2,30-Mar-18,OPG102,Team 1,Y,Y,
TEST0009,S9,test0009,NAME,SURNAME,SW1,22-Jun-11,,           ,,L2,14-May-18,OPG102,Team 1,Y,Y,
TEST0010,S10,test0010,NAME,SURNAME,SW1,23-Jun-11,,           ,,L2,28-Jun-18,OPG102,Team 1,Y,Y,
TEST0051,S51,test0051,NAME,SURNAME,SW2,03-Aug-11,,           ,,L3,17-Jul-23,OPG103,Team 1,Y,Y,
TEST0052,S52,test0052,NAME,SURNAME,SW2,04-Aug-11,,           ,,L3,31-Aug-23,OPG103,Team 1,Y,Y,
TEST0053,S53,test0053,NAME,SURNAME,SW2,05-Aug-11,,           ,,L3,15-Oct-23,OPG103,Team 1,Y,Y,
TEST0054,S54,test0054,NAME,SURNAME,SW2,06-Aug-11,,           ,,L3,29-Nov-23,OPG103,Team 1,Y,Y,
TEST0055,S55,test0055,NAME,SURNAME,SW2,07-Aug-11,,           ,,L3,13-Jan-24,OPG103,Team 1,Y,Y,
TEST0056,S56,test0056,NAME,SURNAME,SW2,08-Aug-11,,           ,,L3,27-Feb-24,OPG103,Team 1,Y,Y,
TEST0057,S57,test0057,NAME,SURNAME,SW2,09-Aug-11,,           ,,L3,12-Apr-24,OPG103,Team 1,Y,Y,
TEST0058,S58,test0058,NAME,SURNAME,SW2,10-Aug-11,,           ,,L3,27-May-24,OPG103,Team 1,Y,Y,
TEST0059,S59,test0059,NAME,SURNAME,SW2,11-Aug-11,,           ,,L3,11-Jul-24,OPG103,Team 1,Y,Y,
TEST0060,S60,test0060,NAME,SURNAME,SW2,12-Aug-11,,           ,,L3,25-Aug-24,OPG103,Team 1,Y,Y,
TEST0100,S100,test0100,NAME,SURNAME,SW3,21-Sep-11,,           ,,L3,16-Jun-29,OPG103,Team 1,Y,Y,
TEST0101,S101,test0101,NAME,SURNAME,SW3,02-Aug-11,,           ,,hw,02-Jun-23,,Team 1,Y,Y,
TEST0102,S102,test0102,NAME,SURNAME,SW3,03-Aug-11,,           ,,hw,17-Jul-23,,Team 1,Y,Y,
TEST0103,S103,test0103,NAME,SURNAME,SW3,04-Aug-11,,           ,,hw,31-Aug-23,,Team 1,Y,Y,
TEST0104,S104,test0104,NAME,SURNAME,SW3,05-Aug-11,,           ,,hw,15-Oct-23,,Team 1,Y,Y,
TEST0105,S105,test0105,NAME,SURNAME,SW3,06-Aug-11,,           ,,hw,29-Nov-23,,Team 1,Y,Y,
TEST0106,S106,test0106,NAME,SURNAME,SW3,07-Aug-11,,           ,,hw,13-Jan-24,,Team 1,Y,Y,
TEST0107,S107,test0107,NAME,SURNAME,SW3,08-Aug-11,,           ,,hw,27-Feb-24,,Team 1,Y,Y,
TEST0108,S108,test0108,NAME,SURNAME,SW3,09-Aug-11,,           ,,hw,12-Apr-24,,Team 1,Y,Y,
TEST0109,S109,test0109,NAME,SURNAME,SW3,10-Aug-11,,           ,,hw,27-May-24,,Team 1,Y,Y,
TEST0110,S110,test0110,NAME,SURNAME,SW3,11-Aug-11,,           ,,hw,11-Jul-24,,Team 1,Y,Y,
TEST0151,S151,test0151,NAME,SURNAME,SW3,21-Sep-11,,           ,,hw,16-Jun-29,,Team 1,Y,Y,
